Age (dph),Treatment,Length,Eye diameter,Yolk volume,Fin indent,Body weight,Yolk weight,Total weight,Condition,Jaw Gape
0,2,13.1,1.09,0.79,1.10,1.23,0.77,0.99,0.04,1.01
0,2,13.3,1.10,0.75,1.15,1.11,0.78,0.93,0.04,1.04
0,2,13.3,1.10,0.88,1.01,1.16,1.05,1.10,0.05,0.88
0,2,13.5,0.98,1.14,0.74,1.17,1.01,1.08,0.04,1.04
0,2,12.9,1.10,0.69,1.01,0.91,0.79,0.84,0.04,1.06
0,2,13.2,1.13,0.68,0.87,1.45,0.54,0.97,0.04,0.94
0,2,14.0,1.16,0.62,0.78,1.43,0.73,1.06,0.04,1.00
0,2,13.8,1.12,0.98,1.15,1.42,0.79,1.08,0.04,0.88
0,2,14.1,1.11,0.51,0.93,1.37,0.57,0.95,0.03,1.08
0,2,13.8,1.12,0.60,0.79,1.36,0.66,0.99,0.04,0.93
0,2,12.1,1.04,0.86,1.09,1.02,0.87,0.94,0.05,1.04
0,2,13.1,1.06,1.16,1.25,1.24,1.01,1.12,0.05,1.02
0,2,12.7,1.07,0.87,0.92,1.11,0.91,1.00,0.05,1.00
0,2,13.1,0.99,0.96,1.19,1.08,0.91,0.99,0.04,0.90
0,2,12.4,1.04,0.61,1.08,1.10,0.77,0.92,0.05,1.01
0,2,13.1,1.07,0.76,1.05,1.11,0.73,0.91,0.04,0.90
0,2,13.5,1.19,0.86,1.07,1.29,0.89,1.08,0.04,0.85
0,2,12.0,1.04,0.98,1.02,1.04,0.79,0.91,0.05,0.86
0,2,13.7,1.08,0.69,1.28,1.28,0.92,1.09,0.04,1.04
0,2,13.4,1.09,0.95,1.21,1.14,0.80,0.96,0.04,0.99
0,2,12.1,1.03,0.70,1.11,1.11,0.87,0.98,0.05,0.94
0,2,13.3,1.08,0.88,1.40,1.13,0.84,0.97,0.04,0.97
0,2,13.0,1.07,0.57,1.06,1.02,0.68,0.84,0.04,0.92
0,2,13.3,1.17,0.73,0.56,1.02,0.72,0.86,0.04,0.91
0,2,12.8,1.11,0.65,1.09,1.22,0.62,0.90,0.04,1.01
0,2,13.2,1.03,0.82,1.04,1.17,0.79,0.96,0.04,0.97
0,2,13.0,1.03,0.56,1.13,1.05,0.61,0.81,0.04,0.92
0,2,13.6,1.14,0.61,1.03,1.28,0.48,0.86,0.03,0.99
0,2,12.7,1.02,0.44,0.55,1.41,0.56,0.96,0.05,1.04
0,2,14.1,1.13,0.57,0.89,1.45,0.50,0.95,0.03,0.98
0,2,13.3,1.11,0.50,0.94,1.43,0.49,0.93,0.04,0.99
0,2,13.5,1.13,0.60,1.08,1.35,0.43,0.86,0.04,1.00
0,2,12.9,1.16,0.83,0.98,1.14,0.78,0.95,0.04,0.92
0,2,13.8,1.08,0.99,0.81,1.31,0.94,1.11,0.04,0.91
0,2,12.7,1.10,0.71,1.09,1.05,0.69,0.86,0.04,0.93
0,2,13.7,1.08,0.85,1.02,1.22,0.76,0.97,0.04,0.99
0,5,11.6,1.08,1.03,0.88,0.90,0.97,0.93,0.06,0.92
0,5,12.3,1.05,0.95,0.81,1.00,0.85,0.91,0.05,0.88
0,5,12.9,1.06,0.98,1.35,0.98,0.89,0.93,0.04,0.93
0,5,12.4,1.00,1.08,1.00,0.99,1.07,1.03,0.05,1.01
0,5,12.0,0.97,1.26,1.12,0.86,1.10,0.99,0.06,0.94
0,5,12.7,1.08,0.85,1.10,1.20,0.96,1.07,0.05,0.90
0,5,12.7,1.07,1.01,1.04,1.05,0.97,1.01,0.05,0.98
0,5,12.4,0.96,0.82,1.15,0.99,0.96,0.97,0.05,1.01
0,5,12.9,0.99,1.08,1.11,1.00,1.15,1.08,0.05,1.00
0,5,12.4,0.99,1.17,1.10,0.95,1.21,1.08,0.06,1.02
0,5,12.3,1.01,0.93,0.80,1.20,0.90,1.04,0.06,0.94
0,5,12.4,1.02,1.14,1.01,1.15,0.80,0.96,0.05,0.94
0,5,12.2,0.98,1.16,1.16,1.00,0.84,0.91,0.05,0.98
0,5,12.6,1.01,1.02,0.90,0.97,0.99,0.98,0.05,1.01
0,5,12.6,0.97,1.12,0.60,1.01,1.06,1.04,0.05,1.01
0,5,12.7,0.97,1.08,1.03,1.03,1.03,1.03,0.05,0.94
0,5,12.5,0.93,1.12,0.93,0.88,1.03,0.95,0.05,1.04
0,5,13.4,0.96,1.07,0.91,1.01,1.27,1.15,0.05,0.98
0,5,12.9,1.01,1.11,1.04,0.99,1.18,1.08,0.05,0.98
0,5,12.5,1.01,0.79,0.95,1.13,0.76,0.93,0.05,0.93
0,5,13.2,1.05,1.16,0.76,1.10,1.05,1.07,0.05,0.95
0,5,12.5,0.97,0.99,1.10,0.94,0.95,0.94,0.05,0.98
0,5,14.0,1.04,1.28,0.77,1.23,0.91,1.06,0.04,0.92
0,5,12.7,1.06,1.01,0.94,1.17,0.87,1.01,0.05,1.01
0,5,13.1,0.98,0.88,1.01,1.16,1.02,1.08,0.05,0.94
0,5,12.4,1.06,0.60,0.79,1.11,0.75,0.92,0.05,0.98
0,5,12.5,0.96,0.90,0.61,1.04,0.91,0.97,0.05,0.92
0,5,12.6,1.03,0.91,0.99,1.10,0.85,0.97,0.05,0.90
0,5,12.8,1.06,0.77,0.88,1.16,0.95,1.04,0.05,0.94
0,5,12.9,1.02,0.71,1.03,1.14,0.89,1.00,0.05,0.98
0,5,12.7,0.99,0.58,1.23,1.16,0.92,1.03,0.05,0.95
0,5,13.1,1.00,0.77,0.54,1.08,0.93,1.00,0.04,0.93
0,5,12.7,1.04,1.01,1.05,1.02,0.85,0.93,0.05,0.97
0,5,13.5,0.96,1.13,0.82,1.27,0.98,1.12,0.05,1.01
0,5,13.0,1.00,0.94,1.09,1.13,1.14,1.13,0.05,0.98
0,5,12.7,1.01,1.13,1.41,1.09,0.90,0.99,0.05,1.00
0,5,12.0,0.91,1.01,1.08,1.00,1.11,1.05,0.06,0.88
0,5,10.7,0.94,1.06,1.32,0.78,1.26,1.03,0.08,0.95
0,5,12.6,1.00,1.25,1.26,1.10,1.21,1.16,0.06,0.90
0,5,12.3,0.94,0.95,0.90,1.06,1.18,1.12,0.06,0.93
0,5,11.9,0.91,1.15,1.29,0.95,1.45,1.21,0.07,1.00
0,5,12.4,0.97,1.26,1.12,1.11,1.20,1.16,0.06,0.98
0,5,11.7,0.99,1.20,0.76,0.95,1.12,1.04,0.06,1.04
0,5,12.0,0.97,0.96,1.00,1.01,1.15,1.08,0.06,0.99
0,8,10.9,0.87,1.33,1.16,0.69,1.48,1.10,0.09,0.84
0,8,9.3,0.87,1.12,0.98,0.56,1.33,0.96,0.12,0.90
0,8,10.3,0.79,1.22,1.00,0.61,1.50,1.08,0.10,0.92
0,8,10.4,0.97,1.49,0.82,0.66,1.48,1.09,0.10,0.92
0,8,10.3,0.89,1.50,1.08,0.62,1.55,1.11,0.10,0.81
0,8,10.4,0.85,1.41,1.04,0.66,1.44,1.07,0.09,0.80
0,8,10.6,0.78,1.35,0.95,0.56,1.71,1.16,0.10,0.93
0,8,12.1,1.00,1.06,0.93,0.99,0.86,0.92,0.05,0.84
0,8,11.4,0.96,0.93,1.03,1.32,0.78,1.03,0.07,0.90
0,8,9.8,0.85,1.04,1.45,0.60,1.11,0.87,0.09,0.83
0,8,10.6,0.84,1.20,0.77,0.70,1.27,1.00,0.08,0.88
0,8,11.5,0.96,1.18,1.07,0.88,1.20,1.05,0.07,0.92
0,8,11.3,0.91,1.27,1.09,0.75,1.14,0.95,0.07,0.95
0,8,11.4,0.88,1.53,1.04,0.65,1.20,0.94,0.06,0.98
0,8,11.9,0.93,1.29,0.63,0.86,1.19,1.03,0.06,0.97
0,8,10.6,0.97,1.14,1.02,1.00,1.19,1.10,0.09,0.90
0,8,10.8,0.90,1.09,0.82,0.74,1.32,1.04,0.08,1.00
0,8,11.1,0.95,1.06,1.05,0.56,1.22,0.91,0.07,0.95
0,8,9.7,0.92,1.34,1.22,0.79,1.26,1.04,0.11,0.86
0,8,11.0,0.96,1.25,0.72,0.90,1.03,0.97,0.07,1.01
0,8,10.2,0.79,1.52,0.00,0.60,1.48,1.06,0.10,0.84
28,5,17.4,1.29,0.00,0.26,3.79,0.00,3.79,0.07,1.56
28,5,17.6,1.32,0.00,0.13,4.01,0.00,4.01,0.07,1.44
28,5,16.0,1.24,0.00,0.23,2.78,0.00,2.78,0.07,1.41
28,5,16.2,1.18,0.00,0.21,2.94,0.00,2.94,0.07,1.41
28,5,18.0,1.31,0.00,0.26,4.24,0.00,4.24,0.07,1.62
28,5,17.0,1.29,0.00,0.26,3.61,0.00,3.61,0.07,1.53
